Parameter	Branch	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	GBS01	0.704548	0.0405132	12.2525	17.3906
1/delta	GBS01	1.14082	0.106221	12.2525	10.7401
nu	GBS01	0.898635	0.0659015	12.2538	13.636
M	GBS01	0.0451001	0.000137935	14.7462	326.965
R/theta	GBS02	0.713288	0.0410795	12.3852	17.3636
1/delta	GBS02	1.0861	0.0952426	12.3852	11.4035
nu	GBS02	0.787658	0.0466205	13.3076	16.8951
M	GBS02	0.0449485	0.000137511	14.6924	326.873
R/theta	GBS03	0.792794	0.0423063	14.8565	18.7394
1/delta	GBS03	1.25555	0.106109	14.8565	11.8326
nu	GBS03	0.976778	0.0513994	18.5624	19.0037
M	GBS03	0.0533566	0.000163263	17.4376	326.813
R/theta	GBS04	0.742678	0.0328434	16.794	22.6127
1/delta	GBS04	1.23294	0.090517	16.794	13.6211
nu	GBS04	1.82919	0.0658219	50.8333	27.79
M	GBS04	0.0770653	0.000235989	25.1667	326.563
R/theta	GBS05	0.60925	0.0324194	11.4495	18.7928
1/delta	GBS05	1.10148	0.105967	11.4495	10.3946
nu	GBS05	0.875812	0.0733581	10.4562	11.9388
M	GBS05	0.0536486	0.000164056	17.5438	327.014
R/theta	GBS06	0.486542	0.0118076	20.0484	41.2059
1/delta	GBS06	1.14935	0.065891	20.0484	17.4432
nu	GBS06	0.552533	0.0118651	25.7304	46.568
M	GBS06	0.190994	0.000585819	62.2696	326.029
R/theta	GBS07	0.787432	0.0287982	21.5308	27.3431
1/delta	GBS07	1.39134	0.089909	21.5308	15.4749
nu	GBS07	0.959234	0.025997	35.3937	36.8979
M	GBS07	0.106055	0.00032502	34.6063	326.304
R/theta	GBS09	0.724737	0.0350561	14.9829	20.6736
1/delta	GBS09	1.25008	0.104299	14.9829	11.9856
nu	GBS09	1.14923	0.0581741	22.703	19.755
M	GBS09	0.0651701	0.000199424	21.297	326.792
R/theta	GBS10	0.86333	0.0460434	16.1877	18.7504
1/delta	GBS10	1.1657	0.0839428	16.1878	13.8868
nu	GBS10	0.809061	0.0278072	23.54	29.0954
M	GBS10	0.0534721	0.000163761	17.46	326.526
R/theta	GBS11	0.734189	0.0354568	15.2025	20.7065
1/delta	GBS11	0.959312	0.0605347	15.2025	15.8473
nu	GBS11	0.816895	0.0210935	31.6361	38.7273
M	GBS11	0.0654827	0.000200712	21.3639	326.252
R/theta	GBS12	0.601043	0.0312134	11.5736	19.2559
1/delta	GBS12	1.10757	0.105992	11.5736	10.4496
nu	GBS12	0.862656	0.0706583	10.532	12.2088
M	GBS12	0.0564759	0.000172706	18.468	327.006
R/theta	GBS13	0.630798	0.0353586	11.2535	17.84
1/delta	GBS13	1.08923	0.105427	11.2535	10.3316
nu	GBS13	0.890622	0.0765855	10.3572	11.6291
M	GBS13	0.0478341	0.000146272	15.6428	327.023
R/theta	GBS14	0.759425	0.0355282	16.2329	21.3753
1/delta	GBS14	1.06423	0.069771	16.2329	15.2532
nu	GBS14	0.846222	0.0236319	30.3019	35.8085
M	GBS14	0.0695545	0.000213138	22.6981	326.335
R/theta	GBS15	0.618198	0.0337335	11.329	18.3259
1/delta	GBS15	1.09413	0.105668	11.329	10.3544
nu	GBS15	0.884718	0.0753515	10.3877	11.7412
M	GBS15	0.0507992	0.00015534	16.6123	327.019
R/theta	GBS16	0.652797	0.0386308	11.0312	16.8984
1/delta	GBS16	1.07512	0.104782	11.0312	10.2605
nu	GBS16	0.907473	0.0804518	10.236	11.2797
M	GBS16	0.0420874	0.000128695	13.764	327.032
R/theta	GBS17	0.741409	0.027052	20.3197	27.4069
1/delta	GBS17	1.28969	0.0818563	20.3197	15.7555
nu	GBS17	1.261	0.0329446	48.2664	38.2763
M	GBS17	0.106458	0.000326294	34.7336	326.265
R/theta	GBS18	0.784768	0.0333144	18.4863	23.5564
1/delta	GBS18	1.14164	0.0705036	18.4863	16.1927
nu	GBS18	1.30984	0.0324025	52.9494	40.4242
M	GBS18	0.0829254	0.000254214	27.0506	326.204
R/theta	GBS19	0.679913	0.0321147	14.3947	21.1714
1/delta	GBS19	1.24801	0.108201	14.3947	11.5341
nu	GBS19	0.838779	0.0478286	14.7098	17.5372
M	GBS19	0.0681959	0.000208643	22.2902	326.855
R/theta	GBS20	0.690643	0.0218479	21.8322	31.6114
1/delta	GBS20	1.27299	0.0742255	21.8322	17.1503
nu	GBS20	0.5069	0.0112322	22.8759	45.129
M	GBS20	0.132254	0.0004056	43.1241	326.07
R/theta	GBS21	0.54275	0.0240292	12.2592	22.5871
1/delta	GBS21	1.14598	0.107126	12.2592	10.6975
nu	GBS21	0.810714	0.0603798	10.8854	13.4269
M	GBS21	0.0768099	0.000234913	25.1146	326.971
R/theta	GBS22	0.78032	0.0387555	15.7113	20.1344
1/delta	GBS22	1.19008	0.0901452	15.7113	13.2019
nu	GBS22	0.690948	0.0268532	17.7784	25.7305
M	GBS22	0.0619113	0.00018955	20.2216	326.622
R/theta	GBS23	0.597692	0.0264365	13.513	22.6086
1/delta	GBS23	1.20097	0.106737	13.513	11.2517
nu	GBS23	0.79521	0.0492402	12.8423	16.1496
M	GBS23	0.0769597	0.000235427	25.1577	326.894
R/theta	GBS24	0.679379	0.029977	15.397	22.6633
1/delta	GBS24	1.08171	0.0759955	15.397	14.2339
nu	GBS24	0.932836	0.0302861	28.7321	30.8008
M	GBS24	0.0773955	0.000237062	25.2679	326.477
R/theta	GBS25	0.825072	0.0381077	17.8637	21.6511
1/delta	GBS25	1.32981	0.0989937	17.8637	13.4333
nu	GBS25	0.735172	0.0273629	19.7522	26.8675
M	GBS25	0.0711836	0.000217961	23.2478	326.589
R/theta	GBS26	0.683804	0.0333287	14.0296	20.517
1/delta	GBS26	1.18441	0.0999913	14.0296	11.8452
nu	GBS26	0.735134	0.0385588	14.0155	19.0653
M	GBS26	0.0642098	0.000196474	20.9845	326.811
R/theta	GBS27	0.689015	0.0324206	14.6432	21.2524
1/delta	GBS27	1.17742	0.0946736	14.6432	12.4367
nu	GBS27	0.66214	0.0301367	14.548	21.9712
M	GBS27	0.0687176	0.00021032	22.452	326.729
R/theta	GBS28	0.679863	0.0321196	14.3904	21.1666
1/delta	GBS28	1.1769	0.0962512	14.3904	12.2274
nu	GBS28	0.79832	0.0381187	16.7192	20.943
M	GBS28	0.0681875	0.000208679	22.2808	326.758
R/theta	GBS29	0.539304	0.0238457	12.1971	22.6164
1/delta	GBS29	1.14598	0.107671	12.1971	10.6434
nu	GBS29	0.822657	0.0625072	10.827	13.161
M	GBS29	0.0769866	0.000235448	25.173	326.979
R/theta	GBS30	0.707119	0.0282682	17.6884	25.0147
1/delta	GBS30	1.24674	0.0878746	17.6884	14.1877
nu	GBS30	0.622763	0.0203691	19.0404	30.574
M	GBS30	0.0917645	0.000281069	29.9596	326.484
R/theta	GBS31	0.679601	0.0371326	12.4381	18.302
1/delta	GBS31	1.14886	0.106115	12.4381	10.8265
nu	GBS31	0.955531	0.0679583	13.4353	14.0605
M	GBS31	0.0506639	0.000154957	16.5647	326.953
R/theta	GBS32	0.859812	0.0337624	21.8964	25.4665
1/delta	GBS32	0.655478	0.019622	21.8964	33.4053
nu	GBS32	0.449089	0.00359306	56.1306	124.988
M	GBS32	0.0953347	0.000294425	30.8694	323.8
R/theta	GBS33	1.01296	0.0421742	24.3297	24.0184
1/delta	GBS33	1.26422	0.0656916	24.3297	19.2448
nu	GBS33	0.650073	0.0117302	36.0263	55.4189
M	GBS33	0.0858674	0.000263577	27.9737	325.778
R/theta	GBS34	0.961882	0.0418514	22.1072	22.9833
1/delta	GBS34	0.84205	0.0320732	22.1072	26.254
nu	GBS34	1.54795	0.0172274	139.089	89.8541
M	GBS34	0.0797742	0.000245611	25.9105	324.799
R/theta	GBS35	0.673936	0.0386756	11.7436	17.4254
1/delta	GBS35	0.964675	0.0792432	11.7436	12.1736
nu	GBS35	1.45967	0.0705882	30.1841	20.6787
M	GBS35	0.045341	0.000138757	14.8159	326.765
R/theta	GBS36	1.7422	0.071632	42.3731	24.3216
1/delta	GBS36	0.876614	0.0181354	42.3731	48.3373
nu	GBS36	1.09611	0.00552624	217.41	198.347
M	GBS36	0.0888679	0.000276233	28.5901	321.714
R/theta	GBS37	0.826615	0.0294248	23.2216	28.0924
1/delta	GBS37	1.26809	0.0692477	23.2216	18.3123
nu	GBS37	0.765121	0.0150502	38.8971	50.8378
M	GBS37	0.110776	0.000339901	36.1029	325.908
R/theta	GBS38	1.06797	0.0406083	28.0869	26.2993
1/delta	GBS38	0.985389	0.0345709	28.0869	28.5034
nu	GBS38	1.17408	0.0116355	118.471	100.905
M	GBS38	0.100249	0.00030895	32.5293	324.484
R/theta	GBS39	0.679085	0.0283898	16.2437	23.92
1/delta	GBS39	1.24072	0.0947674	16.2437	13.0922
nu	GBS39	0.842534	0.0334447	21.225	25.1919
M	GBS39	0.0850332	0.000260329	27.775	326.637
R/theta	GBS40	0.570729	0.0275622	11.8181	20.707
1/delta	GBS40	1.12391	0.106885	11.8181	10.5151
nu	GBS40	0.848847	0.0677403	10.6368	12.5309
M	GBS40	0.0653314	0.000199792	21.3632	326.997
R/theta	GBS41	0.682996	0.0253578	18.3961	26.9344
1/delta	GBS41	1.32482	0.0954087	18.3961	13.8857
nu	GBS41	0.90099	0.0309722	26.21	29.0903
M	GBS41	0.103483	0.000316922	33.79	326.526
R/theta	GBS42	0.916224	0.0343158	24.463	26.6998
1/delta	GBS42	0.881991	0.0317993	24.463	27.7361
nu	GBS42	1.0467	0.0107756	101.672	97.1357
M	GBS42	0.102677	0.000316328	33.3282	324.592
R/theta	GBS43	0.689146	0.0341407	13.9108	20.1855
1/delta	GBS43	1.20862	0.105009	13.9108	11.5096
nu	GBS43	1.01494	0.0582736	17.677	17.4168
M	GBS43	0.0621767	0.000190225	20.323	326.858
R/theta	GBS44	0.588375	0.0215722	16.0477	27.2746
1/delta	GBS44	1.16476	0.08454	16.0477	13.7777
nu	GBS44	1.62928	0.0570489	46.5311	28.5593
M	GBS44	0.105558	0.00032326	34.4689	326.541
R/theta	GBS45	0.904539	0.0411583	19.8791	21.977
1/delta	GBS45	0.967843	0.0471208	19.8791	20.5396
nu	GBS45	0.649069	0.0105061	40.0995	61.78
M	GBS45	0.0734053	0.000225449	23.9005	325.597
R/theta	GBS46	0.711694	0.0313045	16.1801	22.7346
1/delta	GBS46	1.08884	0.0732736	16.1801	14.8599
nu	GBS46	0.607788	0.0179413	20.5897	33.8764
M	GBS46	0.0778525	0.000238526	25.4103	326.39
R/theta	GBS47	0.649012	0.0281149	14.9819	23.0842
1/delta	GBS47	1.2453	0.103509	14.9819	12.0308
nu	GBS47	0.745497	0.0373172	14.893	19.9773
M	GBS47	0.0798903	0.000244473	26.107	326.785
R/theta	GBS48	0.771238	0.0327403	18.1675	23.5563
1/delta	GBS48	1.28189	0.0904497	18.1675	14.1724
nu	GBS48	0.982022	0.0321988	29.9504	30.4987
M	GBS48	0.0828506	0.000253765	27.0496	326.486
R/theta	GBS49	0.647389	0.027688	15.137	23.3816
1/delta	GBS49	1.24771	0.102845	15.137	12.1319
nu	GBS49	0.796129	0.0388854	16.2997	20.4737
M	GBS49	0.0817095	0.000250051	26.7003	326.771
R/theta	GBS50	0.718556	0.0255887	20.1778	28.081
1/delta	GBS50	1.29902	0.0836294	20.1778	15.5331
nu	GBS50	0.912263	0.024534	33.9212	37.1836
M	GBS50	0.110571	0.000338866	36.0788	326.296
R/theta	GBS51	0.737464	0.0305247	17.8168	24.1596
1/delta	GBS51	1.17758	0.0778311	17.8168	15.13
nu	GBS51	0.702953	0.0199684	24.7462	35.2032
M	GBS51	0.0865745	0.000265279	28.2538	326.352
R/theta	GBS52	1.39056	0.0503133	38.4321	27.6379
1/delta	GBS52	1.27735	0.0424546	38.4321	30.0874
nu	GBS52	0.826208	0.0076017	89.7984	108.687
M	GBS52	0.108559	0.000334786	35.2016	324.263
R/theta	GBS53	0.67682	0.0245918	18.6276	27.5222
1/delta	GBS53	1.23492	0.0818688	18.6276	15.0841
nu	GBS53	0.858735	0.0245509	30.0366	34.9777
M	GBS53	0.107132	0.000328264	34.9634	326.359
R/theta	GBS54	0.936119	0.0337804	25.9417	27.7119
1/delta	GBS54	1.04257	0.0418999	25.9417	24.8824
nu	GBS54	0.934278	0.0112407	77.6533	83.1158
M	GBS54	0.108762	0.000334664	35.3467	324.99
R/theta	GBS55	0.842933	0.0327867	21.6715	25.7096
1/delta	GBS55	0.893637	0.0368497	21.6715	24.2509
nu	GBS55	1.88281	0.0235314	150.649	80.0129
M	GBS55	0.0964401	0.000296667	31.3506	325.078
R/theta	GBS56	0.808104	0.0347658	18.7838	23.2442
1/delta	GBS56	1.18737	0.0750572	18.7838	15.8196
nu	GBS56	0.636737	0.0164995	24.5724	38.5912
M	GBS56	0.0810026	0.000248279	26.4276	326.256
R/theta	GBS57	0.846414	0.0262406	27.3019	32.2559
1/delta	GBS57	1.32821	0.0646164	27.3019	20.5553
nu	GBS57	1.2543	0.0202773	77.5876	61.8574
M	GBS57	0.136404	0.000418938	44.4124	325.595
R/theta	GBS58	1.30167	0.0492905	34.3748	26.4082
1/delta	GBS58	1.00813	0.0295658	34.3748	34.0977
nu	GBS58	0.843144	0.00656708	108.251	128.39
M	GBS58	0.10117	0.00031254	32.7491	323.703
R/theta	GBS59	0.726462	0.0360078	14.6565	20.1751
1/delta	GBS59	0.611001	0.0254715	14.6565	23.9876
nu	GBS59	0.415324	0.00527597	32.6943	78.7199
M	GBS59	0.0624571	0.000192108	20.3057	325.115
R/theta	GBS60	0.754955	0.0302893	18.8171	24.9248
1/delta	GBS60	1.31917	0.0924795	18.8171	14.2644
nu	GBS60	1.00869	0.0325902	31.2196	30.9507
M	GBS60	0.0912184	0.000279405	29.7804	326.473
R/theta	GBS61	0.81125	0.0392561	16.765	20.6656
1/delta	GBS61	1.15965	0.0802146	16.765	14.4569
nu	GBS61	1.49605	0.0469037	47.7183	31.8962
M	GBS61	0.0651921	0.000199702	21.2817	326.446
R/theta	GBS62	0.840632	0.0391707	18.0406	21.4608
1/delta	GBS62	1.33546	0.0988576	18.0406	13.5089
nu	GBS62	0.739081	0.0271331	20.1319	27.2391
M	GBS62	0.0700232	0.000214415	22.8681	326.579
R/theta	GBS63	0.768459	0.0390398	15.1263	19.684
1/delta	GBS63	1.20366	0.0957792	15.1263	12.567
nu	GBS63	0.914465	0.0404426	20.6774	22.6115
M	GBS63	0.0591429	0.000181026	19.3226	326.71
R/theta	GBS64	0.924797	0.0407814	20.9716	22.677
1/delta	GBS64	1.26262	0.0760181	20.9716	16.6095
nu	GBS64	0.911286	0.0214561	38.7041	42.472
M	GBS64	0.0775601	0.000237808	25.2959	326.146
R/theta	GBS65	0.838679	0.0267708	26.2742	31.3281
1/delta	GBS65	0.956946	0.0348534	26.2742	27.4563
nu	GBS65	0.881726	0.00920755	84.4351	95.7612
M	GBS65	0.131118	0.000403899	42.5649	324.631
R/theta	GBS66	0.667809	0.0252256	17.6792	26.4734
1/delta	GBS66	1.33678	0.101078	17.6792	13.2252
nu	GBS66	0.894945	0.0346271	23.13	25.8452
M	GBS66	0.100637	0.000308119	32.87	326.618
R/theta	GBS67	0.566766	0.0235984	13.6121	24.0171
1/delta	GBS67	1.21441	0.108345	13.6121	11.2088
nu	GBS67	0.880373	0.0552349	14.032	15.9387
M	GBS67	0.0855552	0.000261717	27.968	326.9
R/theta	GBS68	0.635088	0.0270054	14.9354	23.5171
1/delta	GBS68	1.25194	0.104942	14.9354	11.9298
nu	GBS68	0.822816	0.0422363	16.0295	19.4812
M	GBS68	0.0825294	0.000252538	26.9705	326.799
R/theta	GBS69	0.86718	0.0334487	22.4822	25.9257
1/delta	GBS69	1.35204	0.0813096	22.4822	16.6283
nu	GBS69	0.944957	0.0222006	40.2215	42.5644
M	GBS69	0.0974372	0.000298756	31.7785	326.143
R/theta	GBS70	0.500706	0.0199436	12.5708	25.1061
1/delta	GBS70	1.0691	0.0909228	12.5708	11.7583
nu	GBS70	1.54836	0.083074	28.859	18.6384
M	GBS70	0.0922242	0.000282184	30.141	326.823
R/theta	GBS71	0.690448	0.0371096	12.8462	18.6056
1/delta	GBS71	1.08651	0.0918951	12.8462	11.8234
nu	GBS71	0.676714	0.0356951	12.8293	18.9582
M	GBS71	0.0525398	0.000160763	17.1707	326.814
R/theta	GBS72	0.912689	0.0411707	20.2329	22.1684
1/delta	GBS72	1.26539	0.0791393	20.2329	15.9894
nu	GBS72	0.753803	0.0191197	29.7191	39.4255
M	GBS72	0.0744283	0.000228145	24.2809	326.232
R/theta	GBS73	1.04129	0.040827	26.5581	25.505
1/delta	GBS73	0.781671	0.0230065	26.5581	33.9761
nu	GBS73	0.73599	0.00575927	94.0537	127.792
M	GBS73	0.0955959	0.000295304	30.9463	323.72
R/theta	GBS74	0.597348	0.0230144	15.5044	25.9554
1/delta	GBS74	1.29722	0.108535	15.5044	11.9521
nu	GBS74	0.774062	0.0395123	15.1642	19.5904
M	GBS74	0.0974179	0.0002981	31.8358	326.796
R/theta	GBS75	0.682161	0.0371975	12.51	18.3389
1/delta	GBS75	1.14927	0.105581	12.51	10.8852
nu	GBS75	0.861509	0.06004	12.3617	14.3489
M	GBS75	0.0508901	0.000155653	16.6383	326.945
R/theta	GBS76	0.574279	0.0238946	13.8022	24.0339
1/delta	GBS76	1.22354	0.108465	13.8022	11.2805
nu	GBS76	0.797885	0.0489766	12.9985	16.2912
M	GBS76	0.0856604	0.000262047	28.0015	326.89
R/theta	GBS77	0.599074	0.0310907	11.5433	19.2686
1/delta	GBS77	1.10591	0.105952	11.5433	10.4379
nu	GBS77	0.864674	0.0711594	10.5068	12.1512
M	GBS77	0.0565527	0.00017294	18.4932	327.008
R/theta	GBS78	0.661524	0.0298587	14.6561	22.1551
1/delta	GBS78	1.24607	0.105941	14.6561	11.7619
nu	GBS78	0.790461	0.0423699	14.747	18.6562
M	GBS78	0.0742085	0.00022706	24.253	326.823
R/theta	GBS79	0.676705	0.0247691	18.488	27.3205
1/delta	GBS79	1.30334	0.0918809	18.488	14.1851
nu	GBS79	0.734247	0.0240256	22.4394	30.561
M	GBS79	0.105857	0.000324233	34.5606	326.484
R/theta	GBS80	0.725948	0.0351455	14.9948	20.6555
1/delta	GBS80	1.13823	0.0864013	14.9948	13.1738
nu	GBS80	1.08386	0.0423504	27.7387	25.5926
M	GBS80	0.0650938	0.000199292	21.2613	326.626
R/theta	GBS81	0.686795	0.0329981	14.2944	20.8132
1/delta	GBS81	1.20603	0.101755	14.2944	11.8524
nu	GBS81	0.755184	0.0395369	14.4245	19.1007
M	GBS81	0.0660183	0.000202008	21.5755	326.81
R/theta	GBS82	0.904148	0.0470965	17.3576	19.1978
1/delta	GBS82	1.18339	0.0806806	17.3576	14.6676
nu	GBS82	0.869892	0.026415	28.6471	32.9317
M	GBS82	0.0562255	0.00017225	18.3529	326.417
R/theta	GBS83	0.580375	0.0220597	15.2692	26.3092
1/delta	GBS83	1.23246	0.0994778	15.2692	12.3893
nu	GBS83	0.895102	0.0411762	19.458	21.7383
M	GBS83	0.0995974	0.000304826	32.542	326.735
R/theta	GBS84	0.657075	0.0367349	11.7531	17.887
1/delta	GBS84	1.00055	0.0851773	11.7531	11.7466
nu	GBS84	1.68253	0.0905502	31.2632	18.5811
M	GBS84	0.0481505	0.000147328	15.7368	326.825
R/theta	GBS85	0.571965	0.0276331	11.8388	20.6985
1/delta	GBS85	1.12511	0.106925	11.8388	10.5224
nu	GBS85	0.84777	0.0674618	10.6536	12.5667
M	GBS85	0.0652802	0.000199636	21.3464	326.996
R/theta	GBS86	0.658022	0.0297835	14.538	22.0935
1/delta	GBS86	1.24813	0.107155	14.538	11.6479
nu	GBS86	0.876994	0.0484638	15.87	18.0959
M	GBS86	0.0738286	0.000225887	24.13	326.839
R/theta	GBS87	0.835409	0.03801	18.3612	21.9787
1/delta	GBS87	1.08962	0.0646625	18.3612	16.8509
nu	GBS87	0.64358	0.0147414	28.0974	43.658
M	GBS87	0.0732956	0.000224756	23.9026	326.112
R/theta	B103	1.11185	0.0387698	31.8857	28.6782
1/delta	B103	1.58088	0.0783797	31.8857	20.1695
nu	B103	1.61315	0.0269029	96.7274	59.9619
M	B103	0.114457	0.000351473	37.2726	325.648
R/theta	B104	1.30607	0.0485364	35.1452	26.9091
1/delta	B104	1.62666	0.0752889	35.1452	21.6057
nu	B104	1.52583	0.0227676	102.257	67.0174
M	B104	0.103682	0.000318583	33.7431	325.448
R/theta	B105	1.05258	0.0357603	30.9819	29.4343
1/delta	B105	1.26962	0.0520283	30.9819	24.4025
nu	B105	1.27809	0.0158262	103.216	80.758
M	B105	0.119314	0.000367054	38.7837	325.057
R/theta	B106	0.957687	0.0367867	24.9319	26.0335
1/delta	B106	1.47155	0.0868554	24.9319	16.9426
nu	B106	1.11105	0.0251891	49.0063	44.1082
M	B106	0.0981104	0.000300861	31.9937	326.099
R/theta	B109	1.17432	0.0521175	26.4601	22.5322
1/delta	B109	1.33184	0.0670372	26.4601	19.8672
nu	B109	1.40213	0.0239775	81.9918	58.4767
M	B109	0.076785	0.000235761	25.0082	325.691
R/theta	B110	1.10636	0.042179	29.0201	26.2302
1/delta	B110	1.12582	0.0436758	29.0201	25.7768
nu	B110	1.33253	0.0152272	116.61	87.5098
M	B110	0.0997034	0.000306907	32.3902	324.865
R/theta	B507	1.14313	0.0474117	27.5618	24.1108
1/delta	B507	1.11191	0.0448575	27.5618	24.7877
nu	B507	1.32897	0.0160794	109.84	82.6505
M	B507	0.0866455	0.000266599	28.1601	325.003
R/theta	B508	1.04017	0.0228218	47.4092	45.5781
1/delta	B508	0.223027	0.00104918	47.4092	212.572
nu	B508	1.11499	0.00110921	1120.8	1005.21
M	B508	0.238306	0.000797612	71.1998	298.775
R/theta	B509	1.17508	0.0262387	52.6252	44.7843
1/delta	B509	0.717479	0.00978194	52.6252	73.3473
nu	B509	1.15042	0.00358143	369.536	321.218
M	B509	0.218289	0.000685968	69.4641	318.221
R/theta	B510	1.09145	0.0379677	31.3756	28.7468
1/delta	B510	1.2757	0.0518686	31.3757	24.5948
nu	B510	1.2801	0.0156678	104.588	81.703
M	B510	0.115103	0.000354129	37.4118	325.03
R/theta	B114	0.944094	0.0367817	24.2325	25.6675
1/delta	B114	1.23358	0.0627965	24.2325	19.6441
nu	B114	1.35474	0.0236098	77.7355	57.3803
M	B114	0.0959854	0.000294685	31.2645	325.722
R/theta	B116	0.955796	0.0407773	22.4033	23.4394
1/delta	B116	1.36498	0.0831653	22.4033	16.4129
nu	B116	1.18496	0.0285492	49.1828	41.5059
M	B116	0.0822177	0.000252068	26.8172	326.173
R/theta	B118	0.859007	0.0321568	22.9468	26.7131
1/delta	B118	1.29714	0.0733247	22.9468	17.6903
nu	B118	1.12281	0.0234987	53.6498	47.7818
M	B118	0.102303	0.000313818	33.3502	325.995
R/theta	B120	1.29434	0.045858	36.5326	28.2249
1/delta	B120	1.32778	0.0482581	36.5326	27.5141
nu	B120	1.16225	0.0121011	111.628	96.0449
M	B120	0.112043	0.000345149	36.3718	324.623
R/theta	B122	0.547935	0.0174597	17.1957	31.3827
1/delta	B122	1.15756	0.0779231	17.1957	14.8551
nu	B122	1.10281	0.0325766	37.3334	33.8529
M	B122	0.130722	0.000400509	42.6666	326.391
R/theta	B124	0.601724	0.0113422	31.9224	53.0516
1/delta	B124	1.47829	0.0684578	31.9224	21.5942
nu	B124	1.31551	0.0196459	88.088	66.9611
M	B124	0.263979	0.000811123	85.912	325.449
R/theta	B126	0.845949	0.0400877	17.8516	21.1024
1/delta	B126	0.757627	0.032154	17.8516	23.5625
nu	B126	0.62434	0.00814735	47.8439	76.6311
M	B126	0.0681362	0.000209537	22.1561	325.175
R/theta	B128	0.618434	0.022202	17.2265	27.8549
1/delta	B128	1.29749	0.0977272	17.2265	13.2767
nu	B128	0.742327	0.0284435	19.3735	26.0983
M	B128	0.109079	0.000333973	35.6265	326.611
R/theta	B130	1.15153	0.0493852	26.8504	23.3172
1/delta	B130	1.46881	0.0803492	26.8504	18.2803
nu	B130	1.1331	0.0223576	57.4259	50.6805
M	B130	0.0815375	0.000250182	26.5741	325.912
R/theta	B134	0.924359	0.0315692	27.0656	29.2804
1/delta	B134	1.39051	0.0714386	27.0656	19.4645
nu	B134	0.805795	0.0142623	45.5259	56.4981
M	B134	0.11811	0.000362583	38.4741	325.747
R/theta	B136	1.29149	0.0698892	23.8657	18.4792
1/delta	B136	1.07027	0.0479966	23.8657	22.2988
nu	B136	0.81052	0.0115093	57.0792	70.4229
M	B136	0.052008	0.000159852	16.9208	325.351
R/theta	B138	0.943204	0.0410662	21.6634	22.9679
1/delta	B138	1.15115	0.0611699	21.6634	18.8189
nu	B138	1.03369	0.0193842	55.1228	53.3264
M	B138	0.0794175	0.000243734	25.8772	325.837
R/theta	B140	1.09522	0.044765	26.7959	24.4661
1/delta	B140	1.41766	0.0750021	26.7959	18.9015
nu	B140	1.02607	0.0190958	55.1331	53.7325
M	B140	0.0885962	0.000271913	28.8669	325.826
R/theta	B205	1.00322	0.0396811	25.3635	25.2821
1/delta	B205	1.35453	0.0723383	25.3635	18.725
nu	B205	1.16344	0.0220077	61.5049	52.8649
M	B205	0.0935863	0.000287207	30.4951	325.85
R/theta	B209	0.844173	0.0330387	21.5695	25.5511
1/delta	B209	1.30913	0.0794556	21.5695	16.4762
nu	B209	1.1232	0.0268598	46.9691	41.8172
M	B209	0.0951388	0.00029169	31.0309	326.164
R/theta	B211	0.799461	0.029843	21.4167	26.7889
1/delta	B211	1.07552	0.0540114	21.4167	19.9129
nu	B211	1.91645	0.0326478	112.497	58.7009
M	B211	0.102868	0.000315852	33.5025	325.684
R/theta	B217	1.06712	0.0473656	24.0417	22.5295
1/delta	B217	1.36605	0.0776187	24.0417	17.5995
nu	B217	1.014	0.0214216	47.9981	47.3354
M	B217	0.0766912	0.000235244	25.0019	326.007
R/theta	B219	1.31211	0.061624	27.9378	21.2922
1/delta	B219	1.42894	0.0730863	27.9378	19.5514
nu	B219	1.23788	0.0217457	70.4663	56.9251
M	B219	0.0691781	0.000212375	22.5337	325.735
R/theta	B501	1.35767	0.0665974	27.6776	20.3862
1/delta	B501	1.03062	0.0383766	27.6776	26.8554
nu	B501	0.552451	0.00595257	51.2723	92.8088
M	B501	0.0638336	0.000196584	20.7277	324.715
R/theta	B502	1.0632	0.0448421	25.2085	23.7099
1/delta	B502	1.51112	0.0905843	25.2085	16.682
nu	B502	1.27587	0.0297908	54.6428	42.8278
M	B502	0.0838828	0.000257202	27.3572	326.136
R/theta	B503	1.63656	0.0481742	55.5968	33.9717
1/delta	B503	0.409494	0.0030161	55.5968	135.769
nu	B503	0.689745	0.00109851	433.085	627.891
M	B503	0.154814	0.000500204	47.9152	309.502
R/theta	B504	1.04498	0.0365948	29.8398	28.5554
1/delta	B504	1.45607	0.0710505	29.8398	20.4934
nu	B504	1.12053	0.0182043	68.9722	61.5532
M	B504	0.113721	0.000349261	37.0278	325.603
R/theta	B505	1.26237	0.0383104	41.5962	32.951
1/delta	B505	1.32776	0.0423823	41.5962	31.3281
nu	B505	1.40434	0.0122347	161.194	114.783
M	B505	0.141338	0.000436106	45.8061	324.09
R/theta	B506	1.90223	0.0687247	52.6521	27.6791
1/delta	B506	0.371206	0.00261706	52.6521	141.841
nu	B506	0.931493	0.00141625	612.659	657.718
M	B506	0.114499	0.000370962	35.3406	308.654
R/theta	B511	0.671916	0.0284954	15.8437	23.5798
1/delta	B511	1.04364	0.0687463	15.8437	15.1811
nu	B511	0.843425	0.0237891	29.903	35.4543
M	B511	0.0830316	0.000254429	27.097	326.345
R/theta	B512	0.646287	0.0109049	38.3028	59.2658
